% Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

   850    7.526               0             -10              -9               0;
   851    7.535               0              -9             -13               0;
   852    7.544               0              -8             -16               0;
   853    7.553               0              -7             -19               0;
   854    7.561               0              -6             -21               0;
   855    7.570               0              -6             -22               0;
   856    7.579               0              -6             -23               0;
   857    7.588               0              -6             -23               0;
   858    7.597               0              -6             -22               0;
   859    7.606               0              -7             -19               0;
   860    7.615               0              -8             -15               0;
   861    7.623               0             -10             -11               0;
   862    7.632               0             -11              -7               0;
   863    7.641               0             -12              -3               0;
   864    7.650               0             -13               1               0;
   865    7.659               0             -14               5               0;
   866    7.668               0             -14               8               0;
   867    7.677               0             -14              11               0;
   868    7.685               0             -14              13               0;
   869    7.694               0             -11              15               0;
   870    7.703               0              -8              16               0;
   871    7.712               0              -6              16               0;
   872    7.721               0              -3              16               0;
   873    7.730               0               1              16               0;
   874    7.739               0               4              14               0;
   875    7.747               0               7              11               0;
   876    7.756               0              10               9               0;
   877    7.765               0              13               7               0;
   878    7.774               0              15               5               0;
   879    7.783               0              17               3               0;
   880    7.792               0              18               2               0;
   881    7.801               0              18               1               0;
   882    7.809               0              18               0               0;
   883    7.818               0              18               0               0;
   884    7.827               0              17               0               0;
   885    7.836               0              15               0               0;
   886    7.845               0              12               2               0;
   887    7.854               0               9               4               0;
   888    7.863               0               6               5               0;
   889    7.871               0               3               7               0;
   890    7.880               0               0               9               0;
   891    7.889               0              -2              10               0;
   892    7.898               0              -5              11               0;
   893    7.907               0              -6              11               0;
   894    7.916               0              -8              11               0;
   895    7.924               0              -9              11               0;
   896    7.933               0             -10              11               0;
   897    7.942               0             -10               9               0;
   898    7.951               0             -10               6               0;
   899    7.960               0             -10               4               0;
   900    7.969               0              -8               1               0;
   901    7.978               0              -7              -2               0;
   902    7.986               0              -6              -4               0;
   903    7.995               0              -4              -7               0;
   904    8.004               0              -3              -9               0;
   905    8.013               0              -3             -10               0;
   906    8.022               0              -2             -11               0;
   907    8.031               0              -2             -12               0;
   908    8.040               0              -2             -12               0;
   909    8.048               0              -2             -12               0;
   910    8.057               0              -2             -11               0;
   911    8.066               0              -2              -9               0;
   912    8.075               0              -3              -7               0;
   913    8.084               0              -4              -4               0;
   914    8.093               0              -5              -1               0;
   915    8.102               0              -6               1               0;
   916    8.110               0              -7               4               0;
   917    8.119               0              -7               6               0;
   918    8.128               0              -7               8               0;
   919    8.137               0              -8               9               0;
   920    8.146               0              -8              11               0;
   921    8.155               0              -6              11               0;
   922    8.164               0              -5              11               0;
   923    8.172               0              -3              11               0;
   924    8.181               0              -1              11               0;
   925    8.190               0               0              10               0;
   926    8.199               0               2               9               0;
   927    8.208               0               4               7               0;
   928    8.217               0               6               5               0;
   929    8.226               0               7               4               0;
   930    8.234               0               8               2               0;
   931    8.243               0               8               1               0;
   932    8.252               0               9               0               0;
   933    8.261               0               9              -0               0;
   934    8.270               0               9              -1               0;
   935    8.279               0               8              -1               0;
   936    8.288               0               7              -1               0;
   937    8.296               0               5              -1               0;
   938    8.305               0               3               1               0;
   939    8.314               0               2               1               0;
   940    8.323               0              -0               3               0;
   941    8.332               0              -2               4               0;
   942    8.341               0              -4               5               0;
   943    8.349               0              -5               5               0;
   944    8.358               0              -6               6               0;
   945    8.367               0              -7               6               0;
   946    8.376               0              -7               6               0;
   947    8.385               0              -8               6               0;
   948    8.394               0              -8               6               0;
   949    8.403               0              -8               5               0;
   950    8.411               0              -8               3               0;
   951    8.420               0              -6               2               0;
   952    8.429               0              -5               1               0;
   953    8.438               0              -3              -1               0;
   954    8.447               0              -3              -2               0;
   955    8.456               0              -1              -3               0;
   956    8.465               0              -1              -4               0;
   957    8.473               0               0              -4               0;
   958    8.482               0               0              -5               0;
   959    8.491               0               0              -5               0;
   960    8.500               0               0              -5               0;
   961    8.509               0               0              -5               0;
   962    8.518               0               0              -3               0;
   963    8.527               0               0              -2               0;
   964    8.535               0              -1               0               0;
   965    8.544               0              -1               1               0;
   966    8.553               0              -2               3               0;
   967    8.562               0              -3               5               0;
   968    8.571               0              -3               6               0;
   969    8.580               0              -4               7               0;
   970    8.589               0              -4               7               0;
   971    8.597               0              -4               8               0;
   972    8.606               0              -4               8               0;
   973    8.615               0              -4               8               0;
   974    8.624               0              -4               8               0;
   975    8.633               0              -2               8               0;
   976    8.642               0              -1               7               0;
   977    8.651               0               0               5               0;
   978    8.659               0               1               4               0;
   979    8.668               0               2               3               0;
   980    8.677               0               2               2               0;
   981    8.686               0               3               1               0;
   982    8.695               0               3               0               0;
   983    8.704               0               3              -0               0;
   984    8.713               0               3              -1               0;
   985    8.721               0               3              -1               0;
   986    8.730               0               3              -1               0;
   987    8.739               0               2              -1               0;
   988    8.748               0               1              -1               0;
   989    8.757               0              -1              -1               0;
   990    8.766               0              -2               1               0;
   991    8.774               0              -3               1               0;
   992    8.783               0              -4               2               0;
   993    8.792               0              -5               2               0;
   994    8.801               0              -5               3               0;
   995    8.810               0              -6               3               0;
   996    8.819               0              -6               4               0;
   997    8.828               0              -6               4               0;
   998    8.836               0              -6               4               0;
   999    8.845               0              -6               4               0;
  1000    8.854               0              -6               4               0;
  1001    8.863               0              -4               4               0;
  1002    8.872               0              -3               3               0;
  1003    8.881               0              -2               2               0;
  1004    8.890               0              -1               1               0;
  1005    8.898               0              -0               1               0;
  1006    8.907               0               0               0               0;
  1007    8.916               0               0               0               0;
  1008    8.925               0               1               0               0;
  1009    8.934               0               1               0               0;
  1010    8.943               0               1               0               0;
  1011    8.952               0               1               0               0;
  1012    8.960               0               1               0               0;
  1013    8.969               0               1               0               0;
  1014    8.978               0               1               2               0;
  1015    8.987               0               0               2               0;
  1016    8.996               0              -1               3               0;
  1017    9.005               0              -1               4               0;
  1018    9.014               0              -2               4               0;
  1019    9.022               0              -2               5               0;
  1020    9.031               0              -2               5               0;
  1021    9.040               0              -2               5               0;
  1022    9.049               0              -3               5               0;
  1023    9.058               0              -3               5               0;
  1024    9.067               0              -3               5               0;
  1025    9.076               0              -3               5               0;
  1026    9.084               0              -3               5               0;
  1027    9.093               0              -3               4               0;
  1028    9.102               0              -1               3               0;
  1029    9.111               0              -1               2               0;
  1030    9.120               0              -0               1               0;
  1031    9.129               0               0               1               0;
  1032    9.138               0               0               1               0;
  1033    9.146               0               0               0               0;
  1034    9.155               0               0               0               0;
  1035    9.164               0               0               0               0;
  1036    9.173               0               0               0               0;
  1037    9.182               0               0               0               0;
  1038    9.191               0              -1               0               0;
  1039    9.199               0              -1               0               0;
  1040    9.208               0              -2               0               0;
  1041    9.217               0              -2               2               0;
  1042    9.226               0              -2               2               0;
  1043    9.235               0              -3               2               0;
  1044    9.244               0              -3               2               0;
  1045    9.253               0              -3               3               0;
  1046    9.261               0              -3               3               0;
  1047    9.270               0              -3               3               0;
  1048    9.279               0              -3               3               0;
  1049    9.288               0              -3               3               0;
  1050    9.297               0              -3               3               0;
  1051    9.306               0              -3               3               0;
  1052    9.315               0              -1               3               0;
  1053    9.323               0              -1               3               0;
  1054    9.332               0              -1               3               0;
  1055    9.341               0              -0               3               0;
  1056    9.350               0               0               3               0;
  1057    9.359               0               0               3               0;
  1058    9.368               0               0               3               0;
  1059    9.377               0               0               3               0;
  1060    9.385               0               0               3               0;
  1061    9.394               0               0               3               0;
  1062    9.403               0               0               3               0;
  1063    9.412               0               0               3               0;
  1064    9.421               0               0               3               0;
  1065    9.430               0              -1               3               0;
  1066    9.439               0              -1               3               0;
  1067    9.447               0              -1               3               0;
  1068    9.456               0              -1               3               0;
  1069    9.465               0              -1               3               0;
  1070    9.474               0              -1               3               0;
  1071    9.483               0              -1               3               0;
  1072    9.492               0              -1               3               0;
  1073    9.501               0              -1               3               0;
  1074    9.509               0              -1               3               0;
  1075    9.518               0              -1               3               0;
  1076    9.527               0              -1               3               0;
  1077    9.536               0              -1               3               0;
  1078    9.545               0              -1               3               0;
  1079    9.554               0              -1               2               0;
  1080    9.563               0              -1               2               0;
  1081    9.571               0              -1               2               0;
  1082    9.580               0              -1               2               0;
  1083    9.589               0              -1               2               0;
  1084    9.598               0              -1               2               0;
  1085    9.607               0              -1               2               0;
  1086    9.616               0              -1               2               0;
  1087    9.624               0              -1               2               0;
  1088    9.633               0              -1               2               0;
  1089    9.642               0              -1               2               0;
  1090    9.651               0              -1               2               0;
  1091    9.660               0              -1               2               0;
  1092    9.669               0              -1               2               0;
  1093    9.678               0              -1               3               0;
  1094    9.686               0              -1               3               0;
  1095    9.695               0              -1               3               0;
  1096    9.704               0              -1               3               0;
  1097    9.713               0              -1               3               0;
  1098    9.722               0              -1               3               0;
  1099    9.731               0              -1               3               0;
  1100    9.740               0              -1               3               0;
  1101    9.748               0              -1               3               0;
  1102    9.757               0              -1               3               0;
  1103    9.766               0              -1               3               0;
  1104    9.775               0              -1               3               0;
  1105    9.784               0              -1               3               0;
  1106    9.793               0              -1               3               0;
  1107    9.802               0              -1               3               0;
  1108    9.810               0              -1               3               0;
  1109    9.819               0              -1               3               0;
  1110    9.828               0              -1               3               0;
  1111    9.837               0              -1               3               0;
  1112    9.846               0              -1               3               0;
  1113    9.855               0              -1               3               0;
  1114    9.864               0              -1               3               0;
  1115    9.872               0              -1               3               0;
  1116    9.881               0              -1               3               0;
  1117    9.890               0              -1               3               0;
  1118    9.899               0              -1               3               0;
  1119    9.908               0              -1               3               0;
  1120    9.917               0              -1               3               0;
  1121    9.926               0              -1               3               0;
  1122    9.934               0              -1               3               0;
  1123    9.943               0              -1               3               0;
  1124    9.952               0              -1               3               0;
  1125    9.961               0              -1               3               0;
  1126    9.970               0              -1               3               0;
  1127    9.979               0              -1               3               0;
  1128    9.988               0              -1               3               0;
  1129    9.996               0              -1               3               0;
  1130   10.005               0              -1               3               0;
  1131   10.014               0              -1               3               0;
  1132   10.023               0              -1               3               0;
  1133   10.032               0              -1               3               0;
  1134   10.041               0              -1               3               0;
  1135   10.049               0              -1               3               0;
  1136   10.058               0              -1               3               0;
  1137   10.067               0              -1               3               0;
  1138   10.076               0              -1               3               0;
  1139   10.085               0              -1               3               0;
  1140   10.094               0              -1               3               0;
  1141   10.103               0              -1               3               0;
  1142   10.111               0              -1               3               0;
  1143   10.120               0              -1               3               0;
  1144   10.129               0              -1               3               0;
  1145   10.138               0              -1               3               0;
  1146   10.147               0              -1               3               0;
  1147   10.156               0              -1               3               0;
  1148   10.165               0              -1               3               0;
  1149   10.173               0              -1               3               0;
  1150   10.182               0              -1               3               0;
  1151   10.191               0              -1               3               0;
  1152   10.200               0              -1               3               0;
  1153   10.209               0              -1               3               0;
  1154   10.218               0              -1               3               0;
  1155   10.227               0              -1               3               0;
  1156   10.235               0              -1               3               0;
  1157   10.244               0              -1               3               0;
  1158   10.253               0              -1               3               0;
  1159   10.262               0              -1               3               0;
  1160   10.271               0              -1               3               0;
  1161   10.280               0              -1               3               0;
  1162   10.289               0              -1               3               0;
  1163   10.297               0              -1               3               0;
  1164   10.306               0              -1               3               0;
  1165   10.315               0              -1               3               0;
  1166   10.324               0              -1               3               0;
  1167   10.333               0              -1               3               0;
  1168   10.342               0              -1               3               0;
  1169   10.351               0              -1               3               0;
  1170   10.359               0              -1               3               0;
  1171   10.368               0              -1               3               0;
  1172   10.377               0              -1               3               0;
  1173   10.386               0              -1               3               0;
  1174   10.395               0              -1               3               0;
  1175   10.404               0              -1               3               0;
  1176   10.413               0              -1               3               0;
  1177   10.421               0              -1               3               0;
  1178   10.430               0              -1               3               0;
  1179   10.439               0              -1               3               0;
  1180   10.448               0              -1               3               0;
  1181   10.457               0              -1               3               0;
  1182   10.466               0              -1               3               0;
  1183   10.474               0              -1               3               0;
  1184   10.483               0              -1               3               0;
  1185   10.492               0              -1               3               0;
  1186   10.501               0              -1               3               0;
  1187   10.510               0              -1               3               0;
  1188   10.519               0              -1               3               0;
  1189   10.528               0              -1               3               0;
  1190   10.536               0              -1               3               0;
  1191   10.545               0              -1               3               0;
  1192   10.554               0              -1               3               0;
  1193   10.563               0              -1               3               0;
  1194   10.572               0              -1               3               0;
  1195   10.581               0              -1               3               0;
  1196   10.590               0              -1               3               0;
  1197   10.598               0              -1               3               0;
  1198   10.607               0              -1               3               0;
  1199   10.616               0              -1               3               0;
  1200   10.625               0              -1               3               0;
  1201   10.634               0              -1               3               0;
  1202   10.643               0              -1               3               0;
  1203   10.652               0              -1               3               0;
  1204   10.660               0              -1               3               0;
  1205   10.669               0              -1               3               0;
  1206   10.678               0              -1               3               0;
  1207   10.687               0              -1               3               0;
  1208   10.696               0              -1               3               0;
  1209   10.705               0              -1               3               0;
  1210   10.714               0              -1               3               0;
  1211   10.722               0              -1               3               0;
  1212   10.731               0              -1               3               0;
  1213   10.740               0              -1               3               0;
  1214   10.749               0              -1               3               0;
  1215   10.758               0              -1               3               0;
  1216   10.767               0              -1               3               0;
  1217   10.776               0              -1               3               0;
  1218   10.784               0              -1               3               0;
  1219   10.793               0              -1               3               0;
  1220   10.802               0              -1               3               0;
  1221   10.811               0              -1               3               0;
  1222   10.820               0              -1               3               0;
  1223   10.829               0              -1               3               0;
  1224   10.838               0              -1               3               0;
  1225   10.846               0              -1               3               0;
  1226   10.855               0              -1               3               0;
  1227   10.864               0              -1               3               0;
  1228   10.873               0              -1               3               0;
  1229   10.882               0              -1               3               0;
  1230   10.891               0              -1               3               0;
  1231   10.899               0              -1               3               0;
  1232   10.908               0              -1               3               0;
  1233   10.917               0              -1               3               0;
  1234   10.926               0              -1               3               0;
  1235   10.935               0              -1               3               0;
  1236   10.944               0              -1               3               0;
  1237   10.953               0              -1               3               0;
  1238   10.961               0              -1               3               0;
  1239   10.970               0              -1               3               0;
  1240   10.979               0              -1               3               0;
  1241   10.988               0              -1               3               0;
  1242   10.997               0              -1               3               0;
  1243   11.006               0              -1               3               0;
  1244   11.015               0              -1               3               0;
  1245   11.023               0              -1               3               0;
  1246   11.032               0              -1               3               0;
  1247   11.041               0              -1               3               0;
  1248   11.050               0              -1               3               0;
  1249   11.059               0              -1               3               0;
  1250   11.068               0              -1               3               0;
  1251   11.077               0              -1               3               0;
  1252   11.085               0              -1               3               0;
  1253   11.094               0              -1               3               0;
  1254   11.103               0              -1               3               0;
  1255   11.112               0              -1               3               0;
  1256   11.121               0              -1               3               0;
  1257   11.130               0              -1               3               0;
  1258   11.139               0              -1               3               0;
  1259   11.147               0              -1               3               0;
  1260   11.156               0              -1               3               0;
  1261   11.165               0              -1               3               0;
  1262   11.174               0              -1               3               0;
  1263   11.183               0              -1               3               0;
  1264   11.192               0              -1               3               0;
  1265   11.201               0              -1               3               0;
  1266   11.209               0              -1               3               0;
  1267   11.218               0              -1               3               0;
  1268   11.227               0              -1               3               0;
  1269   11.236               0              -1               3               0;
  1270   11.245               0              -1               3               0;
  1271   11.254               0              -1               3               0;
  1272   11.263               0              -1               3               0;
  1273   11.271               0              -1               3               0;
  1274   11.280               0              -1               3               0;
  1275   11.289               0              -1               3               0;
  1276   11.298               0              -1               3               0;
  1277   11.307               0              -1               3               0;
  1278   11.316               0              -1               3               0;
  1279   11.324               0              -1               3               0;
  1280   11.333               0              -1               3               0;
  1281   11.342               0              -1               3               0;
  1282   11.351               0              -1               3               0;
  1283   11.360               0              -1               3               0;
  1284   11.369               0              -1               3               0;
  1285   11.378               0              -1               3               0;
  1286   11.386               0              -1               3               0;
  1287   11.395               0              -1               3               0;
  1288   11.404               0              -1               3               0;
  1289   11.413               0              -1               3               0;
  1290   11.422               0              -1               3               0;
  1291   11.431               0              -1               3               0;
  1292   11.440               0              -1               3               0;
  1293   11.448               0              -1               3               0;
  1294   11.457               0              -1               3               0;
  1295   11.466               0              -1               3               0;
  1296   11.475               0              -1               3               0;
  1297   11.484               0              -1               3               0;
  1298   11.493               0              -1               3               0;
  1299   11.502               0              -1               3               0;
  1300   11.510               0              -1               3               0;
  1301   11.519               0              -1               3               0;
  1302   11.528               0              -1               3               0;
  1303   11.537               0              -1               3               0;
  1304   11.546               0              -1               3               0;
  1305   11.555               0              -1               3               0;
  1306   11.564               0              -1               3               0;
  1307   11.572               0              -1               3               0;
  1308   11.581               0              -1               3               0;
  1309   11.590               0              -1               3               0;
  1310   11.599               0              -1               3               0;
  1311   11.608               0              -1               3               0;
  1312   11.617               0              -1               3               0;
  1313   11.626               0              -1               3               0;
  1314   11.634               0              -1               3               0;
  1315   11.643               0              -1               3               0;
  1316   11.652               0              -1               3               0;
  1317   11.661               0              -1               3               0;
  1318   11.670               0              -1               3               0;
  1319   11.679               0              -1               3               0;
  1320   11.688               0              -1               3               0;
  1321   11.696               0              -1               3               0;
  1322   11.705               0              -1               3               0;
  1323   11.714               0              -1               3               0;
  1324   11.723               0              -1               3               0;
  1325   11.732               0              -1               3               0;
  1326   11.741               0              -1               3               0;
  1327   11.749               0              -1               3               0;
  1328   11.758               0              -1               3               0;
  1329   11.767               0              -1               3               0;
  1330   11.776               0              -1               3               0;
  1331   11.785               0              -1               3               0;
  1332   11.794               0              -1               3               0;
  1333   11.803               0              -1               3               0;
  1334   11.811               0              -1               3               0;
  1335   11.820               0              -1               3               0;
  1336   11.829               0              -1               3               0;
  1337   11.838               0              -1               3               0;
  1338   11.847               0              -1               3               0;
  1339   11.856               0              -1               3               0;
  1340   11.865               0              -1               3               0;
  1341   11.873               0              -1               3               0;
  1342   11.882               0              -1               3               0;
  1343   11.891               0              -1               3               0;
  1344   11.900               0              -1               3               0;
  1345   11.909               0              -1               3               0;
  1346   11.918               0              -1               3               0;
  1347   11.927               0              -1               3               0;
  1348   11.935               0              -1               3               0;
  1349   11.944               0              -1               3               0;
  1350   11.953               0              -1               3               0;
  1351   11.962               0              -1               3               0;
  1352   11.971               0              -1               3               0;
  1353   11.980               0              -1               3               0;
  1354   11.989               0              -1               3               0;
  1355   11.997               0              -1               3               0;
  1356   12.006               0              -1               3               0;
  1357   12.015               0              -1               3               0;
  1358   12.024               0              -1               3               0;
  1359   12.033               0              -1               3               0;
  1360   12.042               0              -1               3               0;
  1361   12.051               0              -1               3               0;
  1362   12.059               0              -1               3               0;
  1363   12.068               0              -1               3               0;
  1364   12.077               0              -1               3               0;
  1365   12.086               0              -1               3               0;
  1366   12.095               0              -1               3               0;
  1367   12.104               0              -1               3               0;
  1368   12.113               0              -1               3               0;
  1369   12.121               0              -1               3               0;
  1370   12.130               0              -1               3               0;
  1371   12.139               0              -1               3               0;
  1372   12.148               0              -1               3               0;
  1373   12.157               0              -1               3               0;
  1374   12.166               0              -1               3               0;
  1375   12.174               0              -1               3               0;
  1376   12.183               0              -1               3               0;
  1377   12.192               0              -1               3               0;
  1378   12.201               0              -1               3               0;
  1379   12.210               0              -1               3               0;
  1380   12.219               0              -1               3               0;
  1381   12.228               0              -1               3               0;
  1382   12.236               0              -1               3               0;
  1383   12.245               0              -1               3               0;
  1384   12.254               0              -1               3               0;
  1385   12.263               0              -1               3               0;
  1386   12.272               0              -1               3               0;
  1387   12.281               0              -1               3               0;
  1388   12.290               0              -1               3               0;
  1389   12.298               0              -1               3               0;
  1390   12.307               0              -1               3               0;
  1391   12.316               0              -1               3               0;
  1392   12.325               0              -1               3               0;
  1393   12.334               0              -1               3               0;
  1394   12.343               0              -1               3               0;
  1395   12.352               0              -1               3               0;
  1396   12.360               0              -1               3               0;
  1397   12.369               0              -1               3               0;
  1398   12.378               0              -1               3               0;
  1399   12.387               0              -1               3               0;
  1400   12.396               0              -1               3               0;
  1401   12.405               0              -1               3               0;
  1402   12.414               0              -1               3               0;
  1403   12.422               0              -1               3               0;
  1404   12.431               0              -1               3               0;
  1405   12.440               0              -1               3               0;
  1406   12.449               0              -1               3               0;
  1407   12.458               0              -1               3               0;
  1408   12.467               0              -1               3               0;
  1409   12.476               0              -1               3               0;
  1410   12.484               0              -1               3               0;
  1411   12.493               0              -1               3               0;
  1412   12.502               0              -1               3               0;
  1413   12.511               0              -1               3               0;
  1414   12.520               0              -1               3               0;
  1415   12.529               0              -1               3               0;
  1416   12.538               0              -1               3               0;
  1417   12.546               0              -1               3               0;
  1418   12.555               0              -1               3               0;
  1419   12.564               0              -1               3               0;
  1420   12.573               0              -1               3               0;
  1421   12.582               0              -1               3               0;
  1422   12.591               0              -1               3               0;
  1423   12.599               0              -1               3               0;
  1424   12.608               0              -1               3               0;
  1425   12.617               0              -1               3               0;
  1426   12.626               0              -1               3               0;
  1427   12.635               0              -1               3               0;
  1428   12.644               0              -1               3               0;
  1429   12.653               0              -1               3               0;
  1430   12.661               0              -1               3               0;
  1431   12.670               0              -1               3               0;
  1432   12.679               0              -1               3               0;
  1433   12.688               0              -1               3               0;
  1434   12.697               0              -1               3               0;
  1435   12.706               0              -1               3               0;
  1436   12.715               0              -1               3               0;
  1437   12.723               0              -1               3               0;
  1438   12.732               0              -1               3               0;
  1439   12.741               0              -1               3               0;
  1440   12.750               0              -1               3               0;
  1441   12.759               0              -1               3               0;
  1442   12.768               0              -1               3               0;
  1443   12.777               0              -1               3               0;
  1444   12.785               0              -1               3               0;
  1445   12.794               0              -1               3               0;
  1446   12.803               0              -1               3               0;
  1447   12.812               0              -1               3               0;
  1448   12.821               0              -1               3               0;
  1449   12.830               0              -1               3               0;
  1450   12.839               0              -1               3               0;
  1451   12.847               0              -1               3               0;
  1452   12.856               0              -1               3               0;
  1453   12.865               0              -1               3               0;
  1454   12.874               0              -1               3               0;
  1455   12.883               0              -1               3               0;
  1456   12.892               0              -1               3               0;
  1457   12.901               0              -1               3               0;
  1458   12.909               0              -1               3               0;
  1459   12.918               0              -1               3               0;
  1460   12.927               0              -1               3               0;
  1461   12.936               0              -1               3               0;
  1462   12.945               0              -1               3               0;
  1463   12.954               0              -1               3               0;
  1464   12.963               0              -1               3               0;
  1465   12.971               0              -1               3               0;
  1466   12.980               0              -1               3               0;
  1467   12.989               0              -1               3               0];
